,timestamp,customer_id,location,after
0,2019-09-03 07:02:00,tu1,fruit,fruit
1,2019-09-03 07:03:00,tu1,fruit,fruit
2,2019-09-03 07:04:00,tu1,fruit,drinks
3,2019-09-03 07:05:00,tu1,drinks,drinks
4,2019-09-03 07:06:00,tu1,drinks,drinks
5,2019-09-03 07:07:00,tu1,drinks,drinks
6,2019-09-03 07:08:00,tu1,drinks,drinks
7,2019-09-03 07:09:00,tu1,drinks,drinks
8,2019-09-03 07:10:00,tu1,drinks,drinks
9,2019-09-03 07:11:00,tu1,drinks,checkout
0,2019-09-03 07:02:00,tu2,drinks,drinks
1,2019-09-03 07:03:00,tu2,drinks,drinks
2,2019-09-03 07:04:00,tu2,drinks,drinks
3,2019-09-03 07:05:00,tu2,drinks,drinks
4,2019-09-03 07:06:00,tu2,drinks,drinks
5,2019-09-03 07:07:00,tu2,drinks,drinks
6,2019-09-03 07:08:00,tu2,drinks,drinks
7,2019-09-03 07:09:00,tu2,drinks,drinks
8,2019-09-03 07:10:00,tu2,drinks,drinks
9,2019-09-03 07:11:00,tu2,drinks,drinks
10,2019-09-03 07:12:00,tu2,drinks,drinks
11,2019-09-03 07:13:00,tu2,drinks,fruit
12,2019-09-03 07:14:00,tu2,fruit,fruit
13,2019-09-03 07:15:00,tu2,fruit,fruit
14,2019-09-03 07:16:00,tu2,fruit,checkout
0,2019-09-03 07:03:00,tu3,dairy,dairy
1,2019-09-03 07:04:00,tu3,dairy,dairy
2,2019-09-03 07:05:00,tu3,dairy,dairy
3,2019-09-03 07:06:00,tu3,dairy,dairy
4,2019-09-03 07:07:00,tu3,dairy,dairy
5,2019-09-03 07:08:00,tu3,dairy,dairy
6,2019-09-03 07:09:00,tu3,dairy,checkout
0,2019-09-03 07:06:00,tu4,dairy,dairy
1,2019-09-03 07:07:00,tu4,dairy,spices
2,2019-09-03 07:08:00,tu4,spices,drinks
3,2019-09-03 07:09:00,tu4,drinks,drinks
4,2019-09-03 07:10:00,tu4,drinks,drinks
5,2019-09-03 07:11:00,tu4,drinks,checkout
0,2019-09-03 07:06:00,tu5,dairy,dairy
1,2019-09-03 07:07:00,tu5,dairy,dairy
2,2019-09-03 07:08:00,tu5,dairy,checkout
0,2019-09-03 07:07:00,tu6,dairy,dairy
1,2019-09-03 07:08:00,tu6,dairy,dairy
2,2019-09-03 07:09:00,tu6,dairy,dairy
3,2019-09-03 07:10:00,tu6,dairy,dairy
4,2019-09-03 07:11:00,tu6,dairy,dairy
5,2019-09-03 07:12:00,tu6,dairy,dairy
6,2019-09-03 07:13:00,tu6,dairy,dairy
7,2019-09-03 07:14:00,tu6,dairy,spices
8,2019-09-03 07:15:00,tu6,spices,dairy
9,2019-09-03 07:16:00,tu6,dairy,dairy
10,2019-09-03 07:17:00,tu6,dairy,dairy
11,2019-09-03 07:18:00,tu6,dairy,dairy
12,2019-09-03 07:19:00,tu6,dairy,dairy
13,2019-09-03 07:20:00,tu6,dairy,dairy
14,2019-09-03 07:21:00,tu6,dairy,dairy
15,2019-09-03 07:22:00,tu6,dairy,checkout
0,2019-09-03 07:07:00,tu7,dairy,dairy
1,2019-09-03 07:08:00,tu7,dairy,dairy
2,2019-09-03 07:09:00,tu7,dairy,fruit
3,2019-09-03 07:10:00,tu7,fruit,fruit
4,2019-09-03 07:11:00,tu7,fruit,drinks
5,2019-09-03 07:12:00,tu7,drinks,drinks
6,2019-09-03 07:13:00,tu7,drinks,drinks
7,2019-09-03 07:14:00,tu7,drinks,checkout
0,2019-09-03 07:07:00,tu8,dairy,checkout
0,2019-09-03 07:10:00,tu9,fruit,fruit
1,2019-09-03 07:11:00,tu9,fruit,fruit
2,2019-09-03 07:12:00,tu9,fruit,dairy
3,2019-09-03 07:13:00,tu9,dairy,dairy
4,2019-09-03 07:14:00,tu9,dairy,dairy
5,2019-09-03 07:15:00,tu9,dairy,dairy
6,2019-09-03 07:16:00,tu9,dairy,dairy
7,2019-09-03 07:17:00,tu9,dairy,dairy
8,2019-09-03 07:18:00,tu9,dairy,dairy
9,2019-09-03 07:19:00,tu9,dairy,dairy
10,2019-09-03 07:20:00,tu9,dairy,fruit
11,2019-09-03 07:21:00,tu9,fruit,fruit
12,2019-09-03 07:22:00,tu9,fruit,dairy
13,2019-09-03 07:23:00,tu9,dairy,dairy
14,2019-09-03 07:24:00,tu9,dairy,dairy
15,2019-09-03 07:25:00,tu9,dairy,dairy
16,2019-09-03 07:26:00,tu9,dairy,dairy
17,2019-09-03 07:27:00,tu9,dairy,dairy
18,2019-09-03 07:28:00,tu9,dairy,dairy
19,2019-09-03 07:29:00,tu9,dairy,checkout
0,2019-09-03 07:10:00,tu10,fruit,fruit
1,2019-09-03 07:11:00,tu10,fruit,fruit
2,2019-09-03 07:12:00,tu10,fruit,fruit
3,2019-09-03 07:13:00,tu10,fruit,checkout
0,2019-09-03 07:10:00,tu11,fruit,checkout
0,2019-09-03 07:10:00,tu12,fruit,fruit
1,2019-09-03 07:11:00,tu12,fruit,fruit
2,2019-09-03 07:12:00,tu12,fruit,fruit
3,2019-09-03 07:13:00,tu12,fruit,fruit
4,2019-09-03 07:14:00,tu12,fruit,checkout
0,2019-09-03 07:10:00,tu13,dairy,drinks
1,2019-09-03 07:11:00,tu13,drinks,drinks
2,2019-09-03 07:12:00,tu13,drinks,drinks
3,2019-09-03 07:13:00,tu13,drinks,checkout
0,2019-09-03 07:11:00,tu14,dairy,dairy
1,2019-09-03 07:12:00,tu14,dairy,dairy
2,2019-09-03 07:13:00,tu14,dairy,dairy
3,2019-09-03 07:14:00,tu14,dairy,dairy
4,2019-09-03 07:15:00,tu14,dairy,dairy
5,2019-09-03 07:16:00,tu14,dairy,fruit
6,2019-09-03 07:17:00,tu14,fruit,fruit
7,2019-09-03 07:18:00,tu14,fruit,fruit
8,2019-09-03 07:19:00,tu14,fruit,fruit
9,2019-09-03 07:20:00,tu14,fruit,dairy
10,2019-09-03 07:21:00,tu14,dairy,dairy
11,2019-09-03 07:22:00,tu14,dairy,dairy
12,2019-09-03 07:23:00,tu14,dairy,dairy
13,2019-09-03 07:24:00,tu14,dairy,dairy
14,2019-09-03 07:25:00,tu14,dairy,dairy
15,2019-09-03 07:26:00,tu14,dairy,fruit
16,2019-09-03 07:27:00,tu14,fruit,fruit
